,AJM,FAC,HGM,MER,SFE,TLI,VIF,XAL
1,17,37,39,41,31,23,14,28
2,12,54,38,42,22,33,28,52
3,12,51,42,55,22,50,28,32
4,16,38,38,44,16,42,20,57
5,12,33,38,43,12,45,25,53
6,15,23,38,50,11,41,47,46
7,9,21,30,44,15,40,35,46
8,6,16,38,42,14,41,22,46
9,6,21,37,40,15,39,28,42
10,12,28,38,41,34,42,32,42
11,17,31,37,40,38,40,34,37
12,15,35,39,42,46,38,32,42
13,15,38,48,44,39,44,35,53
14,22,50,61,71,19,66,47,76
15,47,53,84,97,19,79,60,86
16,42,54,68,78,19,57,48,66
17,17,26,54,48,19,44,33,41
18,13,23,39,43,19,17,11,37
19,14,39,33,24,19,12,4,27
20,18,17,31,33,14,13,7,33
21,18,23,30,35,18,10,5,31
22,11,18,37,36,21,23,8,30
23,10,19,33,37,12,23,12,44
24,11,33,25,36,18,23,15,38
25,23,49,29,42,30,23,18,37
26,30,19,25,35,20,23,18,30
27,24,10,28,35,16,23,13,24
28,13,20,38,38,19,43,26,35
29,14,30,55,48,18,40,32,57
30,14,40,58,59,22,52,23,59
31,12,30,53,59,27,33,26,57
32,12,31,53,58,21,45,32,52
33,7,24,50,54,22,50,38,53
34,12,28,52,57,28,45,31,52
35,14,40,53,59,38,47,38,56
36,27,43,55,62,48,47,40,56
37,24,44,57,59,47,48,39,56
38,38,49,59,54,36,58,37,56
39,35,85,50,50,31,68,34,51
40,27,70,33,41,25,52,22,36
41,12,39,25,32,23,21,14,37
42,19,15,27,28,24,11,6,25
43,22,13,14,20,15,9,4,15
44,14,10,16,22,11,10,6,14
45,15,13,16,24,12,11,7,14
46,16,11,18,28,14,13,7,17
47,12,13,15,28,12,14,7,21
48,11,15,14,29,18,14,8,16
49,13,13,18,28,12,21,21,27
50,12,24,20,27,16,36,33,32
51,12,42,30,39,20,29,26,41
52,11,47,34,39,25,54,50,30
53,12,43,34,42,23,50,41,37
54,6,35,25,33,20,49,43,49
55,6,35,36,44,15,46,41,56
56,6,33,37,36,11,45,37,51
57,7,32,34,29,14,41,34,34
58,6,30,46,44,16,39,37,47
59,7,35,48,49,23,39,36,49
60,11,41,51,53,27,39,33,47
61,19,38,41,48,35,47,36,59
62,20,39,25,39,16,64,36,58
63,19,40,26,32,16,60,29,46
64,14,30,22,30,23,22,18,42
65,11,22,14,19,14,14,6,26
66,11,11,12,15,12,9,3,14
67,12,11,11,17,9,6,3,12
68,11,9,13,19,8,8,3,10
69,9,12,11,16,8,8,4,15
70,6,20,15,20,11,9,5,14
71,7,15,13,26,11,13,6,21
72,8,15,21,24,9,18,14,22
73,8,8,18,30,10,22,12,35
74,7,18,20,25,13,13,15,16
75,19,23,20,23,17,11,11,15
76,14,30,23,25,17,14,15,25
77,5,23,18,21,27,32,24,41
78,5,27,18,19,20,24,20,20
79,6,21,20,23,10,28,26,20
80,7,21,17,15,14,17,37,17
81,6,24,18,19,18,17,33,27
82,6,32,23,41,26,27,42,42
83,10,38,45,53,41,49,41,51
84,14,44,47,55,52,47,42,54
85,19,42,47,58,35,49,45,57
86,26,38,52,51,22,57,55,57
87,33,38,61,53,20,43,41,68
88,20,38,48,53,22,27,19,50
89,13,46,41,58,31,14,7,44
90,12,25,32,27,17,9,4,29
91,13,20,19,19,13,6,4,17
92,18,17,30,24,18,6,3,18
93,22,20,27,24,13,7,4,19
94,13,14,23,29,18,12,6,21
95,14,14,27,36,18,18,9,27
96,11,30,25,19,18,18,11,19
97,14,27,23,24,16,17,17,22
