"","AJM","ATI","CAM","CHO","HGM","IZT","MER","MPA","SAG","SFE","TAH","TLA","TLI","VIF","XAL"
"1",64,33,73,98,62,76,61,90,126,59,170,51,45,144,101
"2",39,72,56,149,49,52,51,86,100,48,63,58,64,45,50
"3",31,38,43,23,32,53,58,43,43,35,50,46,44,71,47
"4",29,30,46,21,40,29,46,31,32,29,6,50,50,22,50
"5",24,16,65,52,42,27,46,22,39,25,41,57,37,35,51
"6",25,26,52,80,40,22,57,26,60,33,41,48,56,48,60
"7",25,6,44,19,37,34,55,27,95,35,14,53,33,63,59
"8",25,14,40,58,35,34,50,30,52,29,28,41,24,45,71
"9",23,34,39,51,33,40,45,33,48,26,17,36,43,36,67
"10",24,40,55,56,41,31,52,34,47,28,16,39,48,45,70
"11",27,47,48,45,37,42,49,42,48,38,7,48,89,71,98
"12",31,55,75,77,42,33,74,43,60,43,38,63,81,82,101
"13",34,119,105,73,37,45,71,48,75,62,48,77,80,134,119
"14",37,125,122,120,73,37,88,43,128,33,127,105,125,152,189
"15",44,86,105,112,74,37,90,59,107,33,40,99,161,206,179
"16",55,33,81,79,101,56,122,80,119,33,40,90,119,144,151
"17",64,33,89,72,79,59,112,69,99,33,40,81,59,105,115
"18",54,33,63,39,77,53,81,60,84,33,40,80,70,60,95
"19",45,75,90,56,86,43,92,60,87,33,60,80,42,28,105
"20",49,64,102,61,85,37,76,54,52,65,53,83,21,48,61
"21",55,63,72,41,74,39,77,56,58,51,47,63,63,48,83
"22",47,31,70,130,58,50,67,64,63,46,60,64,45,66,72
"23",42,45,55,78,50,31,57,62,54,54,52,50,45,35,53
"24",38,48,46,94,49,41,53,57,77,58,60,47,45,86,69
"25",40,69,70,82,41,31,72,65,129,34,56,50,45,94,90
"26",41,79,82,64,57,41,62,46,70,44,77,60,45,49,69
"27",53,62,62,55,53,46,69,51,72,57,78,65,78,103,60
"28",52,42,48,42,42,46,46,67,50,44,74,46,50,43,49
"29",40,35,47,64,40,29,53,56,39,44,48,32,38,66,50
"30",44,44,48,54,39,29,48,52,45,33,40,45,43,66,67
"31",44,49,52,77,41,31,52,47,199,32,47,38,55,57,81
"32",38,43,44,63,48,33,58,35,150,41,51,46,45,33,100
"33",37,40,48,55,50,43,92,40,119,36,53,45,45,66,99
"34",33,37,69,74,49,58,78,39,95,34,38,49,47,49,99
"35",35,42,67,77,54,63,80,44,98,37,67,57,70,48,105
"36",33,65,73,84,54,56,87,47,156,40,73,62,92,64,138
"37",44,83,93,104,67,54,120,46,163,55,97,79,99,99,135
"38",38,90,106,110,73,55,103,65,202,54,120,99,106,130,117
"39",56,103,129,139,82,55,99,59,160,56,113,126,112,122,120
"40",61,121,111,96,74,53,87,55,132,69,116,142,111,108,105
"41",65,91,93,71,60,59,83,51,72,49,57,108,65,56,101
"42",52,41,67,30,57,42,83,45,87,67,32,77,21,13,96
"43",58,13,44,42,48,40,77,52,66,82,35,43,35,32,73
"44",64,22,40,45,29,33,59,55,46,50,53,59,22,30,45
"45",47,27,38,50,32,27,41,71,49,39,49,41,42,57,40
"46",39,34,52,63,37,31,45,58,47,38,58,42,37,40,45
"47",42,47,55,49,33,30,46,63,59,40,59,49,51,51,60
"48",52,63,62,90,42,24,59,59,59,42,44,49,73,104,67
"49",51,85,83,87,50,43,58,57,97,58,73,49,72,62,102
"50",66,59,63,103,53,49,57,68,60,45,92,64,50,56,61
"51",39,52,38,47,34,38,41,82,53,32,62,42,66,95,63
"52",39,56,39,38,35,35,48,45,59,31,55,50,75,66,80
"53",35,58,50,33,45,43,48,53,59,43,44,54,87,100,77
"54",41,44,66,35,44,39,76,57,52,36,40,60,75,80,59
"55",48,49,101,35,43,40,50,49,52,37,48,68,70,104,71
"56",41,52,65,41,47,42,55,46,57,41,42,55,57,94,82
"57",40,53,51,42,46,40,43,43,55,40,45,52,67,78,78
"58",41,54,50,50,45,38,56,40,71,38,41,54,69,69,76
"59",37,52,59,50,45,41,59,37,68,38,45,49,64,72,82
"60",37,60,81,50,55,47,67,37,74,37,56,58,72,83,100
"61",37,71,83,72,55,44,65,43,92,43,69,70,88,101,111
"62",38,75,91,79,57,46,74,50,101,39,93,73,117,185,147
"63",49,71,87,67,34,41,66,51,95,49,67,84,131,155,98
"64",43,76,71,57,41,42,68,47,73,52,59,78,110,127,83
"65",45,71,56,28,49,41,60,45,62,50,28,68,48,50,92
"66",47,39,45,30,57,35,39,40,70,45,33,51,40,19,90
"67",47,34,46,35,55,35,47,45,55,55,37,37,31,9,68
